0, 3
0, 9
0, 11
0, 12
0, 13
0, 14
0, 15
0, 17
0, 18
0, 19
1, 9
1, 14
1, 17
1, 18
1, 19
2, 5
2, 9
2, 11
2, 12
2, 14
2, 15
2, 17
2, 18
2, 19
2, 20
3, 0
3, 5
3, 6
3, 9
3, 11
3, 13
3, 14
3, 15
3, 16
3, 17
3, 19
3, 20
3, 21
3, 22
4, 5
4, 9
4, 14
4, 17
4, 18
4, 19
4, 22
5, 2
5, 3
5, 4
5, 10
5, 11
5, 12
5, 13
5, 15
5, 16
5, 18
5, 19
6, 3
6, 9
6, 10
6, 11
6, 12
6, 13
6, 14
6, 15
6, 17
6, 18
6, 19
7, 11
7, 19
9, 0
9, 1
9, 2
9, 3
9, 4
9, 6
9, 10
9, 11
9, 12
9, 14
9, 15
9, 16
9, 18
9, 19
9, 20
9, 21
10, 5
10, 6
10, 9
10, 11
10, 13
10, 14
10, 17
10, 18
10, 19
10, 20
10, 22
11, 0
11, 2
11, 3
11, 5
11, 6
11, 7
11, 9
11, 10
11, 12
11, 13
11, 14
11, 16
11, 17
11, 18
11, 19
11, 20
11, 21
11, 22
12, 0
12, 2
12, 5
12, 6
12, 9
12, 11
12, 13
12, 14
12, 16
12, 17
12, 18
12, 19
12, 20
12, 21
12, 22
13, 0
13, 3
13, 5
13, 6
13, 10
13, 11
13, 12
13, 14
13, 15
13, 16
13, 17
13, 19
13, 20
13, 21
14, 0
14, 1
14, 2
14, 3
14, 4
14, 6
14, 9
14, 10
14, 11
14, 12
14, 13
14, 15
14, 16
14, 17
14, 18
14, 19
14, 20
14, 21
15, 0
15, 2
15, 3
15, 5
15, 6
15, 9
15, 13
15, 14
15, 16
15, 17
15, 18
15, 19
15, 20
15, 21
15, 22
16, 3
16, 5
16, 9
16, 11
16, 12
16, 13
16, 14
16, 15
16, 17
16, 18
16, 19
17, 0
17, 1
17, 2
17, 3
17, 4
17, 6
17, 10
17, 11
17, 12
17, 13
17, 14
17, 15
17, 16
17, 18
17, 19
17, 20
17, 21
18, 0
18, 1
18, 2
18, 4
18, 5
18, 6
18, 9
18, 10
18, 11
18, 12
18, 14
18, 15
18, 16
18, 17
18, 20
18, 21
18, 22
19, 0
19, 1
19, 2
19, 3
19, 4
19, 5
19, 6
19, 7
19, 9
19, 10
19, 11
19, 12
19, 13
19, 14
19, 15
19, 16
19, 17
19, 20
19, 21
19, 22
20, 2
20, 3
20, 9
20, 10
20, 11
20, 12
20, 13
20, 14
20, 15
20, 17
20, 18
20, 19
21, 3
21, 9
21, 11
21, 12
21, 13
21, 14
21, 15
21, 17
21, 18
21, 19
22, 3
22, 4
22, 10
22, 11
22, 12
22, 15
22, 18
22, 19
