3, 7
7, 3
3, 12
12, 3
3, 14
14, 3
3, 15
15, 3
3, 17
17, 3
3, 18
18, 3
3, 20
20, 3
4, 14
14, 4
5, 14
14, 5
5, 18
18, 5
6, 14
14, 6
6, 17
17, 6
6, 18
18, 6
6, 20
20, 6
7, 3
3, 7
7, 14
14, 7
7, 17
17, 7
7, 18
18, 7
7, 20
20, 7
8, 14
14, 8
8, 17
17, 8
8, 18
18, 8
8, 20
20, 8
9, 14
14, 9
9, 17
17, 9
9, 18
18, 9
9, 20
20, 9
11, 14
14, 11
12, 3
3, 12
13, 14
14, 13
13, 18
18, 13
14, 3
3, 14
14, 4
4, 14
14, 5
5, 14
14, 6
6, 14
14, 7
7, 14
14, 8
8, 14
14, 9
9, 14
14, 11
11, 14
14, 13
13, 14
14, 15
15, 14
14, 19
19, 14
15, 3
3, 15
15, 14
14, 15
15, 17
17, 15
15, 18
18, 15
15, 20
20, 15
17, 3
3, 17
17, 6
6, 17
17, 7
7, 17
17, 8
8, 17
17, 9
9, 17
17, 15
15, 17
17, 19
19, 17
18, 3
3, 18
18, 5
5, 18
18, 6
6, 18
18, 7
7, 18
18, 8
8, 18
18, 9
9, 18
18, 13
13, 18
18, 15
15, 18
18, 19
19, 18
19, 14
14, 19
19, 17
17, 19
19, 18
18, 19
19, 20
20, 19
20, 3
3, 20
20, 6
6, 20
20, 7
7, 20
20, 8
8, 20
20, 9
9, 20
20, 15
15, 20
20, 19
19, 20
3, 1
1, 3
6, 1
1, 6
8, 1
1, 8
9, 1
1, 9
14, 2
2, 14
18, 2
2, 18
20, 2
2, 20
